date,date,open,high,close,low,volume
2015-05-13,,4746.71,4758.0,4718.44,4678.85,370730424.0
2015-05-14,,4717.96,4735.28,4700.78,4670.17,337725152.0
2015-05-15,,4690.75,4690.75,4617.47,4592.05,328431166.0
2015-05-18,,4582.06,4623.38,4575.14,4565.06,269180489.0
2015-05-19,,4577.64,4740.0,4731.22,4577.64,314785952.0
2015-05-20,,4751.57,4843.1,4754.92,4745.21,363180748.0
2015-05-21,,4768.69,4841.62,4840.98,4746.03,305054537.0
2015-05-22,,4895.92,4951.99,4951.33,4870.6,455846718.0
2015-05-25,,4949.11,5099.84,5099.5,4949.11,465736590.0
2015-05-26,,5140.8,5199.29,5198.92,5063.15,487949359.0
2015-05-27,,5216.17,5226.84,5181.43,5126.86,470798730.0
2015-05-28,,5174.1,5213.18,4834.01,4831.33,571829047.0
2015-05-29,,4839.53,4924.3,4840.83,4665.52,427878859.0
2015-06-01,,4862.76,5079.32,5076.18,4835.77,417503741.0
2015-06-02,,5091.27,5162.56,5161.87,5047.08,412973196.0
2015-06-03,,5176.6,5186.97,5143.59,5059.5,414258270.0
2015-06-04,,5156.01,5194.23,5181.42,4863.46,482767268.0
2015-06-05,,5254.9,5288.34,5230.55,5104.18,545961196.0
2015-06-08,,5259.41,5370.61,5353.75,5202.6,637313237.0
2015-06-09,,5379.47,5380.43,5317.46,5251.21,570427263.0
2015-06-10,,5254.3,5374.83,5309.11,5209.68,442165676.0
2015-06-11,,5305.14,5329.29,5306.59,5248.16,392338755.0
2015-06-12,,5329.28,5351.65,5335.12,5283.09,430131386.0
2015-06-15,,5354.01,5362.45,5221.17,5207.31,475745703.0
2015-06-16,,5165.02,5204.3,5064.82,5015.27,411675638.0
2015-06-17,,5072.31,5158.37,5138.83,4949.29,397124187.0
2015-06-18,,5107.69,5121.22,4930.55,4926.43,364395814.0
2015-06-19,,4847.06,4910.45,4637.05,4634.69,358104744.0
2015-06-23,,4641.42,4786.96,4786.09,4455.33,365087944.0
2015-06-24,,4811.6,4883.73,4880.13,4744.31,434638723.0
2015-06-25,,4906.24,4919.26,4706.52,4667.22,446135982.0
2015-06-26,,4573.87,4650.19,4336.19,4278.67,446639790.0
2015-06-29,,4446.84,4451.17,4191.55,4000.93,525662482.0
2015-06-30,,4161.07,4475.77,4473.0,4016.01,527045280.0
2015-07-01,,4408.98,4526.13,4253.02,4235.7,431721411.0
2015-07-02,,4287.73,4312.19,4108.0,4000.06,457062194.0
2015-07-03,,4017.2,4164.63,3885.92,3785.9,429300850.0
2015-07-06,,4218.27,4218.27,3998.54,3832.47,648094530.0
2015-07-07,,3877.85,3960.64,3928.0,3743.62,679385007.0
2015-07-08,,3651.06,3762.62,3663.04,3612.25,581467097.0
2015-07-09,,3621.68,3930.26,3897.63,3537.83,503870610.0
2015-07-10,,3916.27,4179.11,4106.56,3887.55,500701802.0
2015-07-13,,4132.23,4278.16,4211.81,4072.43,502092186.0
2015-07-14,,4178.63,4258.51,4112.15,4062.5,454422009.0
2015-07-15,,4068.88,4114.24,3966.76,3899.51,421956367.0
2015-07-16,,3949.64,4067.02,3997.36,3856.32,330531345.0
2015-07-17,,4023.76,4190.19,4151.5,4000.23,331107131.0
2015-07-20,,4157.06,4221.69,4160.61,4106.39,352673472.0
2015-07-21,,4109.76,4201.48,4166.01,4081.7,318374945.0
2015-07-22,,4148.56,4187.43,4157.16,4094.71,318945997.0
2015-07-23,,4158.93,4262.06,4250.81,4148.82,354471759.0
2015-07-24,,4255.2,4299.65,4176.28,4154.62,392045373.0
2015-07-27,,4097.8,4156.31,3818.73,3817.17,365054511.0
2015-07-28,,3690.97,3883.45,3811.09,3627.42,383527216.0
2015-07-29,,3839.96,3934.0,3930.38,3769.19,276972845.0
2015-07-30,,3915.78,3968.53,3815.41,3802.88,271548665.0
2015-07-31,,3777.16,3863.62,3816.7,3757.99,222376767.0
2015-08-03,,3766.07,3829.24,3829.24,3742.58,245805030.0
2015-08-04,,3827.37,3948.45,3948.16,3801.03,220236556.0
